"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1621256627,0,0,0,0,0,3591,8213,7443,16455,3571,8166,7403,16361,20,47,40,94
1621256628,0,0,0,0,0,3606,8249,7473,16527,3591,8213,7443,16455,15,36,30,72
1621256629,0,0,0,0,0,3626,8297,7513,16623,3606,8249,7473,16527,20,48,40,96
1621256630,0,0,0,0,0,3646,8345,7553,16719,3626,8297,7513,16623,20,48,40,96
1621256631,0,0,0,0,0,3662,8384,7585,16797,3646,8345,7553,16719,16,39,32,78
1621256632,0,0,0,0,0,3682,8431,7625,16891,3662,8384,7585,16797,20,47,40,94
1621256633,0,0,0,0,0,3697,8467,7655,16963,3682,8431,7625,16891,15,36,30,72
1621256634,0,0,0,0,0,3717,8515,7695,17059,3697,8467,7655,16963,20,48,40,96
1621256635,0,0,0,0,0,3732,8546,7725,17124,3717,8515,7695,17059,15,31,30,65
1621256636,0,0,0,0,0,3752,8578,7765,17188,3732,8546,7725,17124,20,32,40,64
1621256637,0,0,0,0,0,3772,8626,7805,17284,3752,8578,7765,17188,20,48,40,96
1621256638,0,0,0,0,0,3787,8661,7835,17354,3772,8626,7805,17284,15,35,30,70
1621256639,0,0,0,0,0,3807,8709,7875,17450,3787,8661,7835,17354,20,48,40,96
1621256640,0,0,0,0,0,3810,8744,7911,17520,3807,8709,7875,17450,3,35,36,70
1621256641,0,0,0,0,0,3823,8791,7957,17614,3810,8744,7911,17520,13,47,46,94
1621256642,0,0,0,0,0,3843,8837,7975,17706,3823,8791,7957,17614,20,46,18,92
1621256644,0,0,0,0,0,3880,8888,8049,17808,3843,8837,7975,17706,37,51,74,102
1621256645,0,0,0,0,0,3896,8969,8116,17971,3880,8888,8049,17808,16,81,67,163
1621256646,0,0,0,0,0,3908,9005,8136,18043,3896,8969,8116,17971,12,36,20,72
1621256647,0,0,0,0,0,3928,9053,8176,18139,3908,9005,8136,18043,20,48,40,96
1621256648,0,0,0,0,0,3943,9089,8206,18211,3928,9053,8176,18139,15,36,30,72
1621256649,0,0,0,0,0,3963,9136,8246,18305,3943,9089,8206,18211,20,47,40,94
1621256650,0,0,0,0,0,3983,9184,8286,18401,3963,9136,8246,18305,20,48,40,96
1621256651,0,0,0,0,0,3998,9220,8316,18473,3983,9184,8286,18401,15,36,30,72
1621256652,0,0,0,0,0,4018,9268,8356,18569,3998,9220,8316,18473,20,48,40,96
1621256653,0,0,0,0,0,4033,9304,8386,18641,4018,9268,8356,18569,15,36,30,72
1621256654,0,0,0,0,0,4053,9352,8426,18737,4033,9304,8386,18641,20,48,40,96
1621256655,0,0,0,0,0,4073,9383,8466,18802,4053,9352,8426,18737,20,31,40,65
1621256656,0,0,0,0,0,4087,9411,8494,18858,4073,9383,8466,18802,14,28,28,56
1621256657,0,0,0,0,0,4107,9459,8534,18954,4087,9411,8494,18858,20,48,40,96
1621256658,0,0,0,0,0,4127,9507,8574,19050,4107,9459,8534,18954,20,48,40,96
1621256659,0,0,0,0,0,4142,9533,8604,19105,4127,9507,8574,19050,15,26,30,55
1621256660,0,0,0,0,0,4162,9569,8644,19177,4142,9533,8604,19105,20,36,40,72
1621256661,0,0,0,0,0,4177,9605,8674,19249,4162,9569,8644,19177,15,36,30,72
1621256662,0,0,0,0,0,4197,9652,8714,19343,4177,9605,8674,19249,20,47,40,94
1621256663,0,0,0,0,0,4217,9700,8754,19439,4197,9652,8714,19343,20,48,40,96
1621256664,0,0,0,0,0,4232,9736,8784,19511,4217,9700,8754,19439,15,36,30,72
1621256665,0,0,0,0,0,4252,9784,8824,19607,4232,9736,8784,19511,20,48,40,96
1621256666,0,0,0,0,0,4267,9820,8854,19679,4252,9784,8824,19607,15,36,30,72
1621256667,0,0,0,0,0,4287,9868,8894,19775,4267,9820,8854,19679,20,48,40,96
1621256669,0,0,0,0,0,4309,9928,8938,19895,4287,9868,8894,19775,22,60,44,120
1621256670,0,0,0,0,0,4340,9994,9000,20027,4309,9928,8938,19895,31,66,62,132
1621256671,0,0,0,0,0,4360,10043,9040,20125,4340,9994,9000,20027,20,49,40,98
1621256672,0,0,0,0,0,4375,10079,9070,20197,4360,10043,9040,20125,15,36,30,72
1621256673,0,0,0,0,0,4395,10126,9110,20291,4375,10079,9070,20197,20,47,40,94
1621256674,0,0,0,0,0,4415,10174,9150,20387,4395,10126,9110,20291,20,48,40,96
1621256676,0,0,0,0,0,4434,10225,9188,20489,4415,10174,9150,20387,19,51,38,102
1621256677,0,0,0,0,0,4465,10294,9250,20627,4434,10225,9188,20489,31,69,62,138
1621256678,0,0,0,0,0,4485,10341,9290,20721,4465,10294,9250,20627,20,47,40,94
1621256679,0,0,0,0,0,4505,10389,9330,20817,4485,10341,9290,20721,20,48,40,96
1621256680,0,0,0,0,0,4520,10425,9360,20889,4505,10389,9330,20817,15,36,30,72
1621256681,0,0,0,0,0,4540,10473,9400,20985,4520,10425,9360,20889,20,48,40,96
1621256682,0,0,0,0,0,4555,10509,9430,21057,4540,10473,9400,20985,15,36,30,72
1621256683,0,0,0,0,0,4575,10557,9470,21153,4555,10509,9430,21057,20,48,40,96
1621256684,0,0,0,0,0,4595,10604,9510,21247,4575,10557,9470,21153,20,47,40,94
1621256685,0,0,0,0,0,4610,10640,9540,21319,4595,10604,9510,21247,15,36,30,72
1621256686,0,0,0,0,0,4630,10688,9580,21415,4610,10640,9540,21319,20,48,40,96
1621256687,0,0,0,0,0,4645,10724,9610,21487,4630,10688,9580,21415,15,36,30,72
1621256688,0,0,0,0,0,4651,10770,9656,21579,4645,10724,9610,21487,6,46,46,92
1621256689,0,0,0,0,0,4663,10818,9698,21675,4651,10770,9656,21579,12,48,42,96
1621256690,0,0,0,0,0,4679,10852,9708,21743,4663,10818,9698,21675,16,34,10,68
1621256692,0,0,0,0,0,4722,10893,9794,21828,4679,10852,9708,21743,43,41,86,85
1621256693,0,0,0,0,0,4734,10964,9853,21970,4722,10893,9794,21828,12,71,59,142
1621256694,0,0,0,0,0,4750,11011,9883,22064,4734,10964,9853,21970,16,47,30,94
1621256695,0,0,0,0,0,4770,11040,9923,22125,4750,11011,9883,22064,20,29,40,61
1621256696,0,0,0,0,0,4785,11074,9953,22193,4770,11040,9923,22125,15,34,30,68
1621256697,0,0,0,0,0,4805,11121,9993,22287,4785,11074,9953,22193,20,47,40,94
1621256698,0,0,0,0,0,4820,11157,10023,22359,4805,11121,9993,22287,15,36,30,72
1621256699,0,0,0,0,0,4840,11205,10063,22455,4820,11157,10023,22359,20,48,40,96
1621256700,0,0,0,0,0,4848,11251,10111,22547,4840,11205,10063,22455,8,46,48,92
1621256701,0,0,0,0,0,4858,11285,10147,22615,4848,11251,10111,22547,10,34,36,68
1621256702,0,0,0,0,0,4874,11330,10159,22705,4858,11285,10147,22615,16,45,12,90
1621256703,0,0,0,0,0,4899,11375,10209,22795,4874,11330,10159,22705,25,45,50,90
1621256704,0,0,0,0,0,4905,11423,10243,22891,4899,11375,10209,22795,6,48,34,96
1621256705,0,0,0,0,0,4915,11462,10271,22969,4905,11423,10243,22891,10,39,28,78
1621256706,0,0,0,0,0,4933,11509,10305,23063,4915,11462,10271,22969,18,47,34,94
1621256707,0,0,0,0,0,4948,11545,10335,23135,4933,11509,10305,23063,15,36,30,72
1621256708,0,0,0,0,0,4966,11587,10371,23219,4948,11545,10335,23135,18,42,36,84
1621256709,0,0,0,0,0,4986,11636,10411,23317,4966,11587,10371,23219,20,49,40,98
1621256710,0,0,0,0,0,5006,11683,10451,23411,4986,11636,10411,23317,20,47,40,94
1621256711,0,0,0,0,0,5021,11719,10481,23483,5006,11683,10451,23411,15,36,30,72
1621256712,0,0,0,0,0,5041,11767,10521,23579,5021,11719,10481,23483,20,48,40,96
1621256713,0,0,0,0,0,5056,11803,10551,23651,5041,11767,10521,23579,15,36,30,72
1621256714,0,0,0,0,0,5076,11851,10591,23747,5056,11803,10551,23651,20,48,40,96
1621256715,0,0,0,0,0,5096,11899,10631,23843,5076,11851,10591,23747,20,48,40,96
1621256716,0,0,0,0,0,5111,11935,10661,23915,5096,11899,10631,23843,15,36,30,72
1621256717,0,0,0,0,0,5131,11982,10701,24009,5111,11935,10661,23915,20,47,40,94
1621256718,0,0,0,0,0,5146,12018,10731,24081,5131,11982,10701,24009,15,36,30,72
1621256719,0,0,0,0,0,5166,12066,10771,24177,5146,12018,10731,24081,20,48,40,96
1621256720,0,0,0,0,0,5173,12111,10829,24267,5166,12066,10771,24177,7,45,58,90
1621256721,0,0,0,0,0,5176,12157,10843,24359,5173,12111,10829,24267,3,46,14,92
1621256722,0,0,0,0,0,5202,12192,10859,24429,5176,12157,10843,24359,26,35,16,70
1621256723,0,0,0,0,0,5234,12238,10923,24521,5202,12192,10859,24429,32,46,64,92
1621256724,0,0,0,0,0,5244,12283,10974,24611,5234,12238,10923,24521,10,45,51,90
1621256725,0,0,0,0,0,5254,12319,11012,24683,5244,12283,10974,24611,10,36,38,72
1621256726,0,0,0,0,0,5271,12365,11024,24775,5254,12319,11012,24683,17,46,12,92
